webshop_name|brand|pc
Sears|Clique/New Wave|136
Myntra|Reebok|135
Saks Fifth Avenue|Monrow|134
Sports Authority|Brooks|133
JCPenney|Alyx|133
Dillard's|Trina Turk|132
Asos|Diesel|132
Neiman Marcus|Brunello Cucinelli|132
Neiman Marcus|Michael Kors|132
Sports Authority|Alpine Design|131
Farfetch|Damir Doma|130
Nordstrom|Onzie|128
Dillard's|Polo Ralph Lauren|128
Farfetch|Marcelo Burlon County Of Milan|128
Kohls|Fila Sport|127
Asos|Reclaimed Vintage|127
Nordstrom|Alo|126
Asos|Boy London|125
Asos|Zoe Karssen|125
Saks Fifth Avenue|Rag And Bone|125
Farfetch|Msgm|124
Sears|Il Migliore|123
Macy's|The North Face|123
Farfetch|Nike|123
Adidas|Porsche Design Sport By Adidas|122
Macy's|Adidas|122
Sears|Tobeinstyle|122
Sears|Gogo Team|120
Shopbop|Koral|120
Shopbop|Vpl|119
Sears|La T|118
JCPenney|Puma|118
Farfetch|Stella Mccartney|117
Shopbop|Lucas Hugh|117
Sears|Ashworth|116
Farfetch|Unconditional|116
Sears|Gogo|116
Lord & Taylor|Bench|115
Sears|Craft|115
Sears|Devon & Jones Classic|115
Target|Danz N Motion By Danshuz|115
Shopbop|Wildfox Couture|114
Myntra|Nike|114
Myntra|Sports 52|114
Nordstrom_SS|Monrow|113
Six:02|Adidas Originals|113
JCPenney|Izod|112
Sports Authority|Mountain Hardwear|112
Neiman Marcus|Donna Karan|111
Sears|Lat Sportswear|111
Sears|Tie Dye|111
Sears|Under Armour|109
Sports Authority|Soybu|109
Myntra|Proline|108
Farfetch|3.1 Phillip Lim|108
Asos|Hype|108
Sears|Dollardays|106
Sears|2bhip|106
Urban Outfitters|Move By Alternative|105
Macy's|Pga Tour|104
Nordstrom|Zero Restriction|104
Neiman Marcus|Theory|104
Bluefly|Hard Tail|103
Macy's|Hurley|103
Nordstrom_SS|Topshop|103
Sports Authority|Capezio|102
Kohls|Nike|102
Farfetch|Acne Studios|102
Nordstrom|Robert Graham|102
Nordstrom|O'Neill|101
Asos|The Kooples|101
Farfetch|Helmut Lang|101
Sears|Tattoo Golf|100
Saks Fifth Avenue|Splendid|100
Sears|Legendary Whitetails|99
Farfetch|Maison Martin Margiela|99
Farfetch|Zanerobe|98
Nordstrom|Ag|97
Farfetch|Love Moschino|97
Farfetch|Kenzo|97
Bloomingdale's|Alo Yoga|96
Saks Fifth Avenue|Y-3|96
Nordstrom|Lorna Jane|95
Saks Fifth Avenue|3.1 Phillip Lim|95
Farfetch|Brunello Cucinelli|94
Target|Rbx|93
Sears|Gemline|92
Sports Authority|Aspire|92
Sears|Team 365|91
Myntra|Hrx|91
Saks Fifth Avenue|Adidas By Stella Mccartney|91
Lord & Taylor|Dkny|90
Sears|Painful Pleasures|90
Macy's|Tommy Hilfiger|90
Target|Cherokee|89
Nordstrom|Helly Hansen|89
Walmart|Hayabusa|89
Sears|Port Authority Signature|89
Farfetch|Armani Jeans|89
Nordstrom|Nordstrom|88
Saks Fifth Avenue|Emporio Armani|88
Shopbop|Alexander Wang|88
Asos|Fila|87
Asos|Stussy|86
Macy's|Karen Scott|86
Farfetch|Vivienne Westwood|86
Farfetch|Emporio Armani|86
Farfetch|Marni|85
Asos|Supreme Being|85
Sports Authority|Tommy Armour|84
Farfetch|James Perse|84
Sears|Blue Sky Swimwear|83
JCPenney|Pga Tour|83
Sears|Hot From Hollywood|83
Nordstrom_SS|Vince|83
Lord & Taylor|Nautica|83
JCPenney|Nicole By Nicole Miller|82
Nordstrom|Bonobos|82
Myntra|Fort Collins|82
Sears|Virus|82
Asos|Vero Moda|82
Nordstrom|Merrell|81
Bluefly|Curbside|81
Sports Authority|Spyder|80
